   V    E  gmin  gmax    gmed  diam
-----------------------------------
  10    2     0     1    0.40     1
  20   28     0     6    2.80     7
  30   38     0     8    2.53     6
  40   83     1    10    4.15     5
  50  110     1    11    4.40     5
  60  183     0    13    6.10     5
  70  233     2    15    6.66     4
  80  314     2    17    7.85     4
  90  392     3    14    8.71     4
 100  482     2    16    9.64     4
 110  644     6    18   11.71     4
 120  750     4    20   12.50     3
 130  818     5    21   12.58     3
 140  954     4    24   13.63     4
 150 1151     8    25   15.35     3
 160 1299     7    28   16.24     3
 170 1420     9    27   16.71     3
 180 1574     9    29   17.49     3
 190 1744     7    32   18.36     3
 200 2041     9    32   20.41     3
